income,race,sex,workclass,marital-status,age,education-num,capital-gain,capital-loss,hours-per-week
<=50K.,Black,Male,Gov,Married,42,10,0,0,40
<=50K.,Black,Male,Gov,Never-married,17,5,0,0,9
<=50K.,White,Male,Gov,Married,47,13,0,0,40
<=50K.,White,Female,Gov,Divorced,47,5,0,0,40
<=50K.,White,Male,Gov,Never-married,26,13,0,2339,55
<=50K.,White,Female,Gov,Divorced,26,9,0,0,30
<=50K.,White,Male,Gov,Separated,39,9,0,0,40
<=50K.,White,Male,Gov,Married,59,10,0,0,40
<=50K.,Black,Female,Gov,Separated,42,9,0,0,40
<=50K.,White,Male,Gov,Married,43,13,0,0,40
<=50K.,White,Male,Gov,Never-married,24,10,0,0,50
<=50K.,White,Male,Gov,Never-married,32,13,0,0,50
<=50K.,White,Male,Gov,Married,26,13,0,0,40
<=50K.,White,Female,Gov,Married,33,9,0,0,60
<=50K.,White,Female,Gov,Divorced,57,9,0,0,50
<=50K.,White,Female,Gov,Never-married,22,10,0,0,20
<=50K.,White,Male,Gov,Married,46,9,0,0,40
<=50K.,White,Male,Gov,Married,38,9,0,0,40
<=50K.,White,Female,Gov,Divorced,67,9,0,0,24
>50K.,White,Male,Gov,Married,40,12,0,0,40
>50K.,White,Male,Gov,Married,65,14,6514,0,35
<=50K.,White,Male,Gov,Married,34,9,0,0,40
<=50K.,White,Male,Gov,Married,49,9,0,2002,40
<=50K.,White,Male,Gov,Married,27,10,0,0,50
>50K.,White,Female,Gov,Married,53,9,15024,0,40
<=50K.,White,Male,Gov,Married,47,10,0,0,40
<=50K.,White,Male,Gov,Married,51,9,0,0,70
>50K.,White,Male,Gov,Married,40,10,0,0,42
<=50K.,White,Male,Gov,Married,57,9,0,0,72
<=50K.,White,Male,Gov,Widowed,59,9,0,2339,40
>50K.,White,Female,Gov,Married,42,13,8614,0,45
>50K.,White,Female,Gov,Married,35,14,0,0,35
<=50K.,White,Male,Gov,Married,30,5,0,0,40
>50K.,White,Male,Gov,Married,50,9,0,0,40
<=50K.,White,Male,Gov,Never-married,50,14,0,0,38
<=50K.,White,Male,Gov,Married,73,4,2228,0,10
<=50K.,White,Male,Gov,Married,46,9,0,1902,40
>50K.,White,Male,Gov,Married,43,13,0,0,50
<=50K.,Black,Female,Gov,Divorced,37,9,0,0,35
<=50K.,White,Male,Gov,Never-married,21,10,0,0,10
<=50K.,White,Male,Gov,Married,46,10,0,0,24
<=50K.,White,Female,Gov,Divorced,42,14,0,0,38
<=50K.,White,Male,Gov,Married,34,10,0,1579,40
<=50K.,Black,Male,Gov,Never-married,45,9,3325,0,40
<=50K.,White,Female,Gov,Never-married,25,13,0,0,40
<=50K.,White,Female,Gov,Never-married,44,14,0,0,60
>50K.,White,Female,Gov,Married,47,12,0,0,35
>50K.,White,Male,Gov,Married,61,13,5178,0,50
>50K.,Asian-Pac-Islander,Male,Gov,Married,38,9,0,0,54
<=50K.,White,Female,Gov,Divorced,36,9,0,0,48
<=50K.,White,Male,Gov,Never-married,32,13,0,0,37
<=50K.,Black,Male,Gov,Never-married,27,13,0,0,48
<=50K.,White,Male,Gov,Never-married,27,10,0,0,40
>50K.,White,Male,Gov,Separated,42,13,0,0,45
<=50K.,White,Female,Gov,Divorced,45,14,1506,0,45
>50K.,White,Male,Gov,Married,42,14,0,1902,60
<=50K.,Black,Male,Gov,Married,28,11,0,0,46
<=50K.,White,Male,Gov,Never-married,25,13,0,0,35
<=50K.,Black,Male,Gov,Separated,38,13,0,0,40
>50K.,White,Male,Gov,Married,50,13,0,0,40
<=50K.,White,Female,Gov,Never-married,26,9,0,0,40
<=50K.,Black,Female,Gov,Divorced,24,9,0,0,40
<=50K.,White,Female,Gov,Never-married,18,7,0,0,25
<=50K.,Black,Female,Gov,Never-married,43,9,0,0,40
<=50K.,White,Male,Gov,Married,29,13,0,0,25
<=50K.,White,Male,Gov,Married,77,9,0,0,6
>50K.,White,Male,Gov,Married,51,14,0,0,40
<=50K.,Black,Male,Gov,Divorced,39,6,0,0,40
<=50K.,White,Female,Gov,Divorced,53,15,0,0,50
>50K.,White,Male,Gov,Married,49,9,0,0,40
<=50K.,White,Male,Gov,Divorced,51,9,0,0,38
<=50K.,White,Female,Gov,Never-married,27,13,0,0,40
<=50K.,White,Male,Gov,Never-married,57,9,0,2258,40
<=50K.,White,Female,Gov,Married,24,12,0,0,40
<=50K.,White,Male,Gov,Married,44,10,0,0,40
<=50K.,White,Male,Gov,Married,32,14,0,0,50
<=50K.,White,Male,Gov,Married,49,10,0,0,40
<=50K.,White,Male,Gov,Married,30,4,0,0,40
>50K.,White,Male,Gov,Never-married,37,11,8614,0,40
>50K.,White,Male,Gov,Married,42,14,0,1977,40
>50K.,Black,Male,Gov,Married,51,10,0,0,40
>50K.,White,Male,Gov,Married,36,10,0,0,40
<=50K.,Black,Male,Gov,Never-married,25,9,0,0,40
<=50K.,Black,Female,Gov,Separated,59,9,0,0,40
>50K.,White,Female,Gov,Married,31,9,0,0,40
<=50K.,White,Female,Gov,Divorced,56,9,0,0,46
>50K.,White,Female,Gov,Divorced,47,13,0,0,40
<=50K.,White,Male,Gov,Married,58,9,0,0,40
<=50K.,White,Female,Gov,Never-married,21,10,0,0,10
<=50K.,White,Female,Gov,Divorced,45,14,0,0,30
>50K.,Black,Female,Gov,Married,44,9,0,0,38
<=50K.,White,Male,Gov,Married,47,10,0,0,50
<=50K.,Asian-Pac-Islander,Female,Gov,Separated,28,7,0,0,40
<=50K.,White,Female,Gov,Divorced,41,14,0,0,60
<=50K.,White,Female,Gov,Divorced,42,10,0,0,40
<=50K.,White,Female,Gov,Widowed,54,14,0,0,38
<=50K.,White,Female,Gov,Widowed,56,10,0,0,40
<=50K.,White,Male,Gov,Divorced,31,13,0,0,40
<=50K.,White,Female,Gov,Divorced,64,9,0,0,35
<=50K.,White,Female,Gov,Widowed,74,10,0,0,18
<=50K.,White,Male,Gov,Married,28,12,0,0,60
<=50K.,White,Female,Gov,Never-married,49,13,0,0,50
<=50K.,Black,Male,Gov,Widowed,49,9,0,0,40
<=50K.,White,Female,Gov,Separated,57,9,0,0,35
<=50K.,White,Male,Gov,Never-married,23,13,0,0,22
>50K.,White,Female,Gov,Separated,32,13,0,0,50
>50K.,White,Male,Gov,Married,37,13,0,0,55
>50K.,White,Male,Gov,Married,38,15,0,1977,50
<=50K.,White,Female,Gov,Divorced,63,10,0,0,40
<=50K.,White,Female,Gov,Divorced,64,9,0,0,40
>50K.,Asian-Pac-Islander,Male,Gov,Married,44,13,0,0,40
<=50K.,White,Female,Gov,Never-married,45,10,0,0,40
<=50K.,White,Female,Gov,Never-married,22,10,0,0,40
<=50K.,Asian-Pac-Islander,Male,Gov,Never-married,38,13,0,1741,40
<=50K.,Black,Female,Gov,Never-married,32,9,0,0,37
<=50K.,White,Female,Gov,Never-married,29,15,0,0,70
<=50K.,White,Female,Gov,Never-married,21,10,0,0,20
<=50K.,White,Female,Gov,Never-married,27,13,0,0,40
>50K.,White,Male,Gov,Married,46,13,0,0,35
<=50K.,White,Female,Gov,Widowed,64,9,0,0,38
<=50K.,Amer-Indian-Eskimo,Female,Gov,Never-married,31,12,0,0,40
>50K.,White,Male,Gov,Married,62,14,0,0,60
>50K.,White,Male,Gov,Married,45,10,0,0,40
>50K.,White,Male,Gov,Married,63,14,0,0,50
>50K.,Asian-Pac-Islander,Female,Gov,Married,53,10,0,1887,40
<=50K.,Black,Male,Gov,Never-married,25,10,0,0,40
<=50K.,White,Male,Gov,Married,36,9,0,0,40
<=50K.,White,Male,Gov,Separated,61,13,0,0,30
<=50K.,White,Male,Gov,Married,36,13,0,0,40
<=50K.,Black,Female,Gov,Never-married,32,10,0,0,40
<=50K.,White,Female,Gov,Divorced,36,10,0,0,65
>50K.,White,Male,Gov,Married,39,14,0,0,40
>50K.,White,Male,Gov,Married,42,13,0,0,50
<=50K.,Black,Female,Gov,Never-married,44,10,0,0,40
<=50K.,White,Male,Gov,Never-married,31,14,0,0,25
<=50K.,Black,Male,Gov,Never-married,39,9,0,0,40
<=50K.,White,Female,Gov,Divorced,54,10,0,0,40
<=50K.,Black,Female,Gov,Never-married,29,9,0,0,40
<=50K.,White,Female,Gov,Separated,29,10,0,0,38
>50K.,White,Male,Gov,Married,50,14,0,0,40
<=50K.,Asian-Pac-Islander,Female,Gov,Divorced,41,9,0,0,40
>50K.,White,Male,Gov,Never-married,49,14,0,0,56
<=50K.,White,Male,Gov,Never-married,18,8,0,0,40
<=50K.,Black,Female,Gov,Separated,27,9,0,0,40
<=50K.,White,Female,Gov,Divorced,59,11,0,0,40
<=50K.,White,Female,Gov,Never-married,22,10,0,0,21
<=50K.,Asian-Pac-Islander,Male,Gov,Married,58,16,4064,0,40
<=50K.,White,Female,Gov,Never-married,54,9,0,0,20
<=50K.,White,Male,Gov,Never-married,24,14,0,0,13
<=50K.,Amer-Indian-Eskimo,Male,Gov,Married,56,9,0,0,40
<=50K.,White,Female,Gov,Divorced,45,11,0,0,40
<=50K.,White,Male,Gov,Married,45,10,0,0,40
<=50K.,White,Male,Gov,Married,31,9,0,0,40
>50K.,White,Male,Gov,Married,41,9,0,0,40
>50K.,White,Male,Gov,Married,52,9,7298,0,40
<=50K.,White,Male,Gov,Never-married,42,7,0,1340,40
<=50K.,White,Male,Gov,Married,52,14,0,0,40
<=50K.,White,Female,Gov,Never-married,21,10,0,0,15
<=50K.,White,Female,Gov,Divorced,42,13,0,0,50
<=50K.,White,Male,Gov,Married,26,15,0,0,60
>50K.,White,Female,Gov,Divorced,48,11,0,0,56
<=50K.,White,Male,Gov,Married,26,13,0,0,28
<=50K.,White,Male,Gov,Married,61,13,0,0,40
<=50K.,White,Male,Gov,Married,78,13,0,0,15
<=50K.,Black,Female,Gov,Never-married,27,10,0,0,40
>50K.,White,Male,Gov,Married,55,14,7688,0,45
<=50K.,White,Male,Gov,Married,46,9,0,0,40
<=50K.,White,Female,Gov,Divorced,40,14,0,0,45
<=50K.,White,Male,Gov,Married,56,13,0,0,40
<=50K.,White,Male,Gov,Married,27,9,0,0,50
>50K.,White,Female,Gov,Married,42,14,0,0,20
<=50K.,Amer-Indian-Eskimo,Female,Gov,Never-married,40,10,2977,0,35
>50K.,White,Female,Gov,Divorced,45,13,4934,0,50
>50K.,White,Male,Gov,Never-married,30,13,0,0,40
>50K.,White,Male,Gov,Married,37,9,0,0,40
<=50K.,White,Male,Gov,Married,47,9,0,0,40
<=50K.,White,Male,Gov,Married,30,9,0,1902,40
>50K.,White,Male,Gov,Married,43,14,0,1977,60
<=50K.,White,Female,Gov,Never-married,24,9,0,0,40
<=50K.,White,Male,Gov,Never-married,22,10,0,0,40
<=50K.,White,Female,Gov,Divorced,32,10,0,0,40
>50K.,Black,Male,Gov,Married,49,16,0,1902,60
>50K.,White,Male,Gov,Divorced,43,14,0,0,60
<=50K.,White,Female,Gov,Never-married,27,14,0,0,50
<=50K.,White,Male,Gov,Separated,47,14,0,0,38
<=50K.,White,Male,Gov,Married,32,13,0,0,40
<=50K.,White,Male,Gov,Never-married,18,8,0,0,30
<=50K.,White,Male,Gov,Married,35,9,0,0,40
<=50K.,White,Male,Gov,Married,63,9,0,0,55
<=50K.,Black,Female,Gov,Divorced,45,15,0,1726,40
<=50K.,Black,Male,Gov,Married,33,13,0,0,40
>50K.,White,Male,Gov,Married,41,10,0,1485,40
<=50K.,White,Female,Gov,Never-married,20,10,0,0,20
>50K.,White,Male,Gov,Married,47,9,0,0,60
<=50K.,White,Female,Gov,Divorced,41,14,0,0,35
>50K.,White,Female,Gov,Married,38,12,7688,0,33
<=50K.,White,Female,Gov,Married,19,9,0,0,40
<=50K.,White,Female,Gov,Divorced,34,13,0,0,40
<=50K.,Asian-Pac-Islander,Male,Gov,Never-married,29,14,0,0,40
<=50K.,White,Female,Gov,Divorced,33,9,0,1138,40
<=50K.,White,Female,Gov,Never-married,30,14,0,0,40
<=50K.,White,Male,Gov,Married,50,10,0,1740,48
<=50K.,Asian-Pac-Islander,Male,Gov,Never-married,28,13,0,0,20
<=50K.,White,Female,Gov,Never-married,17,7,0,0,16
<=50K.,White,Female,Gov,Separated,49,14,0,0,50
<=50K.,Black,Female,Gov,Divorced,40,10,0,0,35
>50K.,Black,Male,Gov,Married,64,7,0,0,40
<=50K.,White,Male,Gov,Married,39,7,0,0,30
>50K.,White,Female,Gov,Never-married,64,16,4787,0,40
<=50K.,White,Male,Gov,Married,40,13,0,0,40
>50K.,White,Male,Gov,Married,55,13,0,0,40
>50K.,White,Male,Gov,Married,51,16,0,0,40
<=50K.,White,Male,Gov,Married,28,14,0,0,40
<=50K.,White,Female,Gov,Widowed,71,13,0,0,6
<=50K.,White,Male,Gov,Married,44,8,0,0,55
>50K.,Black,Female,Gov,Never-married,50,15,0,0,52
<=50K.,White,Male,Gov,Never-married,27,13,0,0,9
<=50K.,White,Male,Gov,Married,69,6,0,0,20
<=50K.,White,Female,Gov,Widowed,41,13,0,0,40
<=50K.,White,Male,Gov,Never-married,23,10,0,0,40
>50K.,White,Male,Gov,Married,40,15,0,0,38
<=50K.,White,Female,Gov,Divorced,46,9,0,0,25
<=50K.,White,Female,Gov,Married,46,13,0,0,70
<=50K.,White,Female,Gov,Never-married,24,13,0,0,40
<=50K.,White,Female,Gov,Divorced,45,10,0,0,40
>50K.,White,Male,Gov,Married,42,13,0,1977,48
>50K.,White,Male,Gov,Married,61,16,0,0,40
<=50K.,Asian-Pac-Islander,Male,Gov,Never-married,24,13,0,0,40
<=50K.,White,Male,Gov,Married,44,9,0,0,40
>50K.,White,Female,Gov,Separated,64,12,0,0,40
>50K.,White,Male,Gov,Married,48,13,0,0,44
<=50K.,White,Female,Gov,Divorced,37,9,0,0,40
<=50K.,White,Male,Gov,Married,47,9,0,0,40
<=50K.,White,Male,Gov,Never-married,24,13,0,0,15
>50K.,White,Male,Gov,Married,56,13,0,0,40
<=50K.,Black,Male,Gov,Widowed,59,9,0,0,40
<=50K.,White,Male,Gov,Divorced,43,14,0,0,40
>50K.,White,Female,Gov,Married,53,9,0,0,50
<=50K.,White,Female,Gov,Never-married,22,10,0,0,40
<=50K.,White,Male,Gov,Never-married,41,10,0,0,40
<=50K.,White,Male,Gov,Married,41,10,0,0,40
>50K.,White,Male,Gov,Married,30,9,0,0,40
>50K.,Asian-Pac-Islander,Female,Gov,Never-married,54,13,0,0,40
>50K.,White,Male,Gov,Married,45,13,0,1977,50
<=50K.,White,Male,Gov,Widowed,74,9,0,0,17
<=50K.,White,Male,Gov,Married,53,9,0,2002,45
<=50K.,White,Male,Gov,Married,58,6,0,0,40
<=50K.,White,Male,Gov,Separated,42,13,0,0,40
<=50K.,White,Male,Gov,Married,49,7,0,0,40
>50K.,White,Female,Gov,Never-married,46,13,0,0,40
>50K.,White,Male,Gov,Married,38,14,0,0,40
>50K.,White,Male,Gov,Married,52,13,7688,0,40
<=50K.,White,Female,Gov,Never-married,34,14,0,0,50
>50K.,White,Male,Gov,Married,59,9,0,0,40
>50K.,White,Male,Gov,Never-married,31,16,0,0,50
<=50K.,White,Male,Gov,Married,32,12,0,0,40
<=50K.,Black,Male,Gov,Never-married,47,10,0,0,40
>50K.,White,Male,Gov,Married,45,10,7688,0,40
<=50K.,White,Female,Gov,Divorced,57,9,0,0,62
<=50K.,White,Female,Gov,Never-married,50,13,0,0,40
<=50K.,Black,Male,Gov,Never-married,47,9,0,0,40
<=50K.,White,Male,Gov,Married,47,10,0,0,40
>50K.,White,Male,Gov,Married,42,14,0,0,40
<=50K.,White,Male,Gov,Separated,39,9,0,0,40
>50K.,White,Male,Gov,Married,46,13,7688,0,40
<=50K.,White,Female,Gov,Separated,30,9,0,0,40
<=50K.,White,Male,Gov,Divorced,39,12,0,0,59
<=50K.,White,Female,Gov,Never-married,31,13,0,0,50
<=50K.,White,Female,Gov,Never-married,25,12,0,0,40
<=50K.,Black,Female,Gov,Divorced,49,13,0,0,40
<=50K.,White,Male,Gov,Never-married,25,13,0,0,40
>50K.,White,Female,Gov,Married,38,13,0,0,20
<=50K.,White,Female,Gov,Divorced,43,13,0,0,48
<=50K.,White,Female,Gov,Never-married,46,14,0,0,38
<=50K.,White,Male,Gov,Never-married,25,14,0,0,40
>50K.,White,Male,Gov,Married,51,13,0,0,40
<=50K.,White,Male,Gov,Married,59,10,0,0,36
>50K.,White,Male,Gov,Married,49,16,0,0,50
>50K.,White,Female,Gov,Married,43,10,0,1902,40
<=50K.,White,Female,Gov,Divorced,39,13,0,0,35
<=50K.,White,Male,Gov,Married,39,10,0,0,40
